"YEAR","species","route","scenario","quantity","green_tons_total","total_se_percent","green_tons_per_acre","per_acre_se_percent","nonreserved_acres","area_se_percent","live_trees_per_acre","tpa_se_percent","species_plots","area_plots","notes","positive_mass_plots","tree_records","coverage","allocation","green_ratio_used"
2019,"Ponderosa pine","A","rule","foliage_only",12797.6688416562,29.9058308600727,0.0254590614465107,29.5970140021089,502676.379824292,4.93031355867081,14.3695822134631,20.5135022657949,83,265,"Material quantities; see coverage and README assumptions",26,461,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"Western white pine","A","reach","boughs",3349.67272922852,48.0496094647951,0.00666367640031025,47.7945231698923,502676.379824292,4.93031355867081,3.27119091193715,37.8667964214655,37,265,"Material quantities; see coverage and README assumptions",6,93,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"Western white pine","A","reach","foliage_only",1340.20098148328,48.9649047884936,0.00266613080557264,48.7334667494817,502676.379824292,4.93031355867081,3.27119091193715,37.8667964214655,37,265,"Material quantities; see coverage and README assumptions",6,93,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"Western white pine","A","rule","boughs",21138.4804898271,40.1718925692367,0.0420518674404713,40.1184819683861,502676.379824292,4.93031355867081,3.27119091193715,37.8667964214655,37,265,"Material quantities; see coverage and README assumptions",13,93,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"Western white pine","A","rule","foliage_only",4157.33556171633,34.6692888850992,0.00827040165119655,34.5383778137159,502676.379824292,4.93031355867081,3.27119091193715,37.8667964214655,37,265,"Material quantities; see coverage and README assumptions",13,93,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"White fir","A","reach","boughs",81050.5722968823,15.5421728163489,0.161238075927127,14.8367645376597,502676.379824292,4.93031355867081,57.6265414417051,8.81132628821933,179,265,"Material quantities; see coverage and README assumptions",92,1968,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"White fir","A","reach","foliage_only",33465.8498401406,15.0499156101484,0.0665753378979901,14.3375935214617,502676.379824292,4.93031355867081,57.6265414417051,8.81132628821933,179,265,"Material quantities; see coverage and README assumptions",92,1968,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"White fir","A","rule","boughs",288614.467131384,12.9445350902299,0.574155617242783,12.1497412556315,502676.379824292,4.93031355867081,57.6265414417051,8.81132628821933,179,265,"Material quantities; see coverage and README assumptions",118,1968,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"White fir","A","rule","foliage_only",92599.7778426659,12.2790859944311,0.184213505068676,11.4357427316965,502676.379824292,4.93031355867081,57.6265414417051,8.81132628821933,179,265,"Material quantities; see coverage and README assumptions",118,1968,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"red fir (Shasta, California and noble)","A","reach","boughs",33070.6187897266,35.4477226261334,0.0657890844230363,35.0550303736534,502676.379824292,4.93031355867081,18.8105633383898,23.5537327206951,59,265,"Material quantities; see coverage and README assumptions",22,759,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"red fir (Shasta, California and noble)","A","reach","foliage_only",9471.93438677226,34.9328131329678,0.0188430066876887,34.5390322178319,502676.379824292,4.93031355867081,18.8105633383898,23.5537327206951,59,265,"Material quantities; see coverage and README assumptions",22,759,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"red fir (Shasta, California and noble)","A","rule","boughs",56174.3975799916,28.1645058785565,0.111750620945482,27.7193707178348,502676.379824292,4.93031355867081,18.8105633383898,23.5537327206951,59,265,"Material quantities; see coverage and README assumptions",28,759,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"red fir (Shasta, California and noble)","A","rule","foliage_only",14893.7448359038,28.7099857189886,0.0296288933271737,28.2746557439496,502676.379824292,4.93031355867081,18.8105633383898,23.5537327206951,59,265,"Material quantities; see coverage and README assumptions",28,759,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"red fir (Shasta, California and noble)","B","published","UNAVAILABLE",NA,NA,NA,NA,502676.379824292,4.93031355867081,18.8105633383898,23.5537327206951,59,265,"See NOTES.md: Limits",NA,759,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"red fir (Shasta, California and noble)","B physical envelope from A","whole crown","zero",0,NA,0,NA,502676.379824292,4.93031355867081,18.8105633383898,23.5537327206951,59,265,"Zero to full NSVB crown; not a Blatner prediction or harvest estimate",0,759,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
2019,"red fir (Shasta, California and noble)","B physical envelope from A","whole crown","full_crown",2638261.07510688,18.8254352705298,5.24842857352691,18.3138012245372,502676.379824292,4.93031355867081,18.8105633383898,23.5537327206951,59,265,"Zero to full NSVB crown; not a Blatner prediction or harvest estimate",59,759,"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","cone",2.42
